No,토픽 이름,분류,키워드(암기),암기법(해당경우),정의 요약 (35자 내외)
105,서비타이제이션(Servitization),디지털서비스 > 서비스 > 서비타이제이션(Servitization),"서비스+상품화(Productization), 제품 중심 모델, 사용 중심 모델, 제품 활용 결과 보장 모델, 제품의 서비스화, Servitization, SW융합, 지능화, 최적화, 융합역량, SSPL","결상통(결합, 상품화, 통합제공)",기존 제품 판매에서 제품-서비스 시스템으로 전환해 부가가치를 창출
106,빅블러(Big Blur),MG > 기타 > 빅블러(Big Blur),"기존 영역과 경계가 무너지고, 경계가 허물어지는 현상 모호화, 융합, 프레너미, 랜섬 APT, 간편결제, 인터넷전문은행, O4O, 플랫폼화","보금유(보안, 금융, 유통)",기존 산업 영역과 경계가 무너지고 융합되는 산업 경계의 모호화 현상
107,디지털 디바이드(Digital Divide),MG > 기타 > 디지털 디바이드,"불평균, 불균형, 격차, 문해력, 복지",지정불(지식과 정보의 불균형),지식·정보 접근이 계층·성별·연령별로 불균형하게 나타나는 격차 현상
108,디지털 리터러시(Digital Literacy),경영 > 기타 > 디지털 리터러시,"불평균, 불균형, 격차, 문해력, 복지, 창의, 혁신, 연구, 시민의식, 의사소통, 기술 활용",리비창디의기,다양한 출처의 디지털 정보를 이해·활용하는 디지털 시민의 보편 능력
109,디지털 포용(Digital Inclusion),MG > 기타,"포용사회, 혁신사회",포혁,전 국민이 디지털 역량을 갖추고 차별없이 혜택을 누리는 포용 정책
110,SW플랫폼,MG > 플랫폼(유형) > SW플랫폼,"개발, 실행, 유통, 기반",개실유기,SDK·프레임워크·IDE·실행 기반을 통합해 SW를 개발·유통·실행하는 기반
111,비즈니스플랫폼,MG > 마케팅 > 비즈니스플랫폼,"비즈니스 플랫폼, Ecosystem, 채널주도형, 개방참여형","컴룰플(컴포넌트, 룰, 플랫폼)",참여자가 공통 사양·규칙으로 경제적 가치를 창출하는 비즈니스 토대
112,서비스 플랫폼,MG > 플랫폼(유형)> 서비스 플랫폼,"SaaS, SOA, Web3.0",사소웹,다른 서비스가 자사 기능을 쉽게 사용하도록 제공하는 인터넷 기반 환경
113,다면 플랫폼,MG > 플랫폼(유형) > 다면플랫폼,"다수 고객집단 연결, Exchange, Advertisement-supported media, Transaction systems, Software platform","교광결플(교환, 광고, 결재, 플랫폼)",둘 이상의 고객 집단이 상호작용해 가치를 창출하는 양면형 플랫폼
114,아이디어플랫폼,MG > 마케팅 > 아이디어플랫폼,"Idea Platform, 아이디어 연결하는 場 제공 소셜평가, 상업역량육성, 솔루션경쟁, 기존사업부연결",평육경연,기업과 다수 아이디어 제안자를 상시 연결해 활용하는 개방형 플랫폼
115,"표준특허, FRAND(Fair, Reasonable And Non-Discriminatory Terms) 특허","경영전략 > 특허 > 표준특허, FRAND 특허","FRAND (Fair, Reasonable And Non-Discriminatory Terms)",공타비,표준이 된 특허에 대한 공정·합리·비차별 라이선싱을 보장하는 특허
116,지식재산권,MG > 특허 > 지식재산권,소프트웨어 지식재산권(SW Intellectual Property Rights)보호,산저신,창조적 활동·발견으로 창출한 지식·정보·기술 등에 대한 권리
117,CSR(Corporate Social Responsibility),경영전략 > CSR,"SR 라고도 부름 Corporate Social Responsibility: 기업 활동에 영향을 받거나 영향을 주는 직간접적 이해 관계자에 대해 법적, 경제적, 윤리적 책임을 감당하게 하는 경영 기법 1) 자선, 기부, 환경보호 등 사회공헌 활동 2) 기업이 경제적 책임이나 법적 책임 외에도 폭넓은 사회적 책임을 적극 수행",경법윤자,기업이 이해관계자에 대한 법·경제·윤리적 책임을 다하는 사회적 책임
118,"ISO26000, ISO14001","MG > CSR(Corporate Social Responsibility > ISO26000, ISO14001","ISO 26000: CSR을 표준화한 ISO26000의 국제규격 ISO 14001: 환경경영, 정도(正道)경영, 사회공헌",조인노환경소사,기업의 사회적 책임 운영 지침과 환경경영 시스템을 제공하는 국제표준
119,ISO14000,MG,"환경경영시스템, 환경심사, 전과정평가(EPE, LCA), 환경라벨링(EL), 용어 정의 도입준비, 구축/실행, 인증심사",이이엘이,환경 관련 규격을 통일해 제품·기업에 부여하는 환경인증제도 국제표준
120,IT 생산성 패러독스(Productivity Paradox of IT),IT 경영전략 > 투자평가관리,"경영 투자 오류, 잘못된 관리, 측정오류, ROI, 투자평가",경관측,IT 투자 증가에도 생산성이 비례 증가하지 않는 모순적 현상
121,경제성 평가방법,MG > 투자평가관리,"비즈니스 케이스, 경제성 분석 기법, BCR(Benefit Cost Ratio) 평가순서: TCO -> ROI -> NPV ->IRR -> PP",재정다통,비용·편익을 측정해 경제적 수익률을 평가하는 BCR·TCO·ROI 등 기법
122,ISO 9000,품질경영>품질 표준>ISO 9000,"품질경영, 품질보증, 지속적개선, 프로세스",PDCA,ISO에서 제정한 공급자·구매자 간 품질경영·품질보증 국제 규격
123,6 sigma,경영 > 경영전략기법> 6Sigma,"DMAIC(Define, Measure, Analyze, Improve, Control), CTQ(Critical to Quality) 고객관점, 통계적 측정, 전사 프로세스 혁신, 고객중심, 지속적 개선, MBB/BB/GB, DMAIC, DMADV",드마익 드마디브,고객 관점에서 문제를 정의하고 과학적·통계적으로 개선하는 품질혁신 기법
124,Commerce,MG > 마케팅 > Commerce,"E-Commerce, U-Commerce, M-Commerce, T-Commerce, C-Commerce, OTT",이유엠티씨,다양한 기술과 매체를 통해 상품을 판매하는 상거래 형태의 통칭
125,e-Marketplace,MG > Commerce > e-Marketplace,"Escrow System, key Escrow, SW 임치제도",판구중(판매자/구매자/중개자),인터넷상에서 불특정 다수 공급자·수요자가 비즈니스를 수행하는 가상 장터
126,소셜 커머스(Social Commerce),MG > Commerce > 소셜커머스,"SNS, 소비자중심, 리얼타임, 위치기반",링웹구연,SNS를 활용해 소비자 협력·합리적 의사결정을 지원하는 소셜 기반 상거래
127,온라인광고비,경영> Commerce>온라인광고비,"광고클릭횟수, 광고단가 산정기법, 부정클릭 반작용 방지 기술 적용으로 건전성 확보필요 유사비교 1) CPC(Click)      : Target 노출, Pull 방식 2) CPM(Millennium) : 무작위 노출         , Push 방식 3) CPA (Action):   광고실적당 지급. 광고주 선호 4) CPA (Impression ) ;1 회 노출비로 산정, 상품노출 당, 70~150 만원 SEO ( Search Engine Optimization ) 검색엔진 최적화. 광고비 절감효과","씨엠아이(CPC, CPM, CPA, CPI)",이용자의 광고 클릭 횟수를 기준으로 매체에 광고비를 지불하는 방식
128,Programmatic Buying,MG> Commerce > Programmatic Buying,"Advertiser, DSP, SSP, Publisher","사파(사는쪽, 파는쪽)",사용자 데이터를 자동 분석해 타깃 고객에게 광고를 노출하는 자동화 기법
129,O2O(Online to Offline),IT 경영전략 > Commerce > O2O,"쇼핑유형: 쇼루밍, 역소루밍, 옴니쇼핑, 모바일쇼핑 UBER /카카오 택시, 비콘(Beacon), 지오펜싱(Geo-fencing), BLE, NFC, 간편결제, LBS, GPS, 이동통신기","비지와블(비콘, 지오펜싱, 와이파이, 블루투스)",온라인·오프라인을 연결해 상호 진출·활용을 지원하는 상거래 형태
130,엠비언트 커머스(Ambient Commerce),IT 경영전략 > Commerce > 엠비언트 커머스,"인공지능, 음성 에이전트, AI 스피커, 상황인지, 인지, 판단, 추천, Zero UI",인판추,사용자 위치·시간·니즈에 맞는 상품을 추천하는 AI 기반 쇼핑 서비스
131,O4O(Online for Offline),IT 경영전략 > Commerce > O4O,"RFID, NFC, 이미지/얼굴 인식, 지오펜싱, 비콘, 인공지능, 빅데이터, 아마존고",인위분체,온라인 기업이 빅데이터로 오프라인 사업 영역에 진출하는 비즈니스 전략
132,핀테크,MG > 핀테크 > 핀테크,"금융+기술, 인터넷전문은행, 간편결제, 비대면서비스, 컨버전스","금기(금융, 기술)",금융과 기술의 융합으로 결제·송금·자산관리를 혁신하는 금융 서비스
133,인터넷전문은행,MG > 핀테크 > 인터넷전문은행,"비대면 인증거래, 보안 관련 인증 기술, FIDO","간메범(간편계좌, 메신저 기반, Bump)",점포 없이 인터넷을 주요 영업채널로 활용하는 비대면 전문은행
134,오픈뱅킹(Open Banking),SV>출제 예상 토픽> 오픈뱅킹,"오픈 API, 테스트베드, PSD2, GDPR, 마이데이터, 핀테크, 정보주체 자기 결정권 강화","오테(오픈API, 테스트베드)",구성주체의 데이터 공유를 통해 개인화 금융 서비스를 창출하는 체계
135,Design Thinking,MG > 기타 > Design Thinking,"공감, 인간중심적 사고, Empathize, Define, Ideate, Prototype, Test",영아실,공감적 관찰로 문제를 재해석하고 시각적·창의적으로 해결하는 사고법
136,Process Thinking,경영 > 기타 > Process Thinking,"프로세스 사고, Focused Improvement","IDC(Inspiration, Design, Creation)",결과·결과를 고려한 준비·노력을 강조하며 현재에 초점을 맞추는 사고
137,Backcasting,경영 > 기타 > Backcasting,불확실한 미래의 장기적 목표설정 예측 기법,연전현외시실영,원하는 미래상을 설정하고 현재로 거슬러 계획을 수립하는 미래 예측 기법
138,"SMART(Specific, Measurable, Achievable, Relevant, Time-bound)",MG > 기타 > SMART,"Specific(구체적인), Measurable(측정가능한), Achievable(실현가능한), Result-Oriented(결과지향적인), Time-bound(완료시간이 있는)",SMART,구체적·측정·달성·관련·기한의 5가지 목표 설정 원칙
139,공유경제,MG > 기타 > 공유경제,"유휴자산, 대여자, 공유 플랫폼, 이용자, 상업 경제, 공유 경제",유대공이상공,유휴 자원을 다수가 공유해 효율을 높이는 협력 소비 기반 경제
140,기술경영((Management Of Technology),MG > 기타 > 기술경영(MOT),"기술획득, 기술관리, 기술활용, 기술 혁신, 지속가능 경영, 기술 경영 프로세스",연개사시,기술을 전략적으로 활용해 사업 기회·혁신 제품을 창출하는 융합 경영
141,제약(조건) 이론(ToC),MG > 기타 > 제약(조건) 이론(ToC),"전체최적화, 제약사항, 집중개선, DBR(Drum-Buffer-Rope), ToC Thinking Process, Critical Chain, Throughput Accounting",전제집,전략 방해 제약사항을 발견·제거해 시스템 목적 달성을 지원하는 이론
142,이슈탐색(Horizon Scanning),MG > 기타 > 이슈탐색(Horizon Scanning),"Data, Analysis, Force, 국가 정책, 국가 전략, 교차영향분석, 추세외삽법, 시나리오",데분포,다양한 영역 데이터로 중장기 위험·기회를 발굴하는 미래 전략 수립 기법
143,"4P(Product, Price, Place, Promotion)",MG > 기타 > 4P,"Product, Price, Place, Promotion",제가유촉,제품·가격·유통·촉진의 4요소로 구성된 마케팅 믹스 전략
144,긱 이코노미(Gig Economy),경영 > 기타 > 긱 이코노미,"온디멘드 경제, 온라인, 플랫폼, 위치기반, 맞춤화, 사례(Uber, 크몽, 히든등)",온디멘드,플랫폼을 통해 단기 서비스 제공 계약 형태로 일하는 노동 경제 방식
145,구독 경제 (Subscription Economy),경영 > 기타 > 구독 경제,"무제한 이용모델, 정기배송 모델, 랜털 모델",무정랜,정기 구독으로 상품·서비스를 정기 배송·이용하는 소비자 중심 경제
146,성과경제(Outcome Economy),MG,"보상모델(Reward Model), 강화학습(PPO), 인간 선호 정렬(Alignment), 직접 선호 최적화, 보상모델 제거, 학습 구조 단순화",성보(성과/보상),고객이 달성한 성과에 대해 가치를 제공·보상받는 결과 중심 경제 모델
147,기술 가치 평가,경영 > 기타 > 기술 가치 평가,"기술가치평가 원칙, 방법론, 기술성, 권리성, 시장성, 사업성 분석, 소득(수익)접근법, 시장접근법, 비용(원가)접근법",기권시사,기술이전·사업화 대상 기술의 경제적 가치를 화폐로 산출하는 평가
148,고객여정지도,경영 > 기타 > 고객여정지도,"-고객경험관리, 디자인 씽킹, 페르소나, 디지털 트랜스포메이션, 고객여정 -Pain Point, 비즈니스 혁신, 고객관리 혁신",인분도패,고객과 브랜드 상호작용 지점을 순차 나열해 문제를 파악하는 시각화 도구
149,그로스(Growth Hacking)/라이프(Life Hacking)/시빅 해킹(Civic Hacking),IT 경영전략 > 디지털 컨버전스> 그로스/라이프/시빅 해킹,"인지, 측진, 유지, 추천, 매출",인측유추매,성장·생활·시민 영역에서 해킹적 사고로 목표를 달성하는 혁신 기법
150,리빙랩(Living Lab),경영 > 기타 > 리빙랩,시민참여,"공민(공공제품, 민간제품)",시민 참여 기반으로 사회문제 해결을 연구·실험하는 사용자 주도 방법
151,디지털 카르텔(Digital Cartel),IT경영 > 기타> 디지털카르텔,"모니터링, 병행, 신호, 자가학습, Messenger, Hub and Spoke, Predictable Agent, Autonomous Machine",모병신자,알고리즘 기반 정보교환·가격조정으로 이뤄지는 디지털 담합 행위
152,"OKR(Objective, Key Result)",MG > 기타,"목표설정, 집중, 정렬, 추적, 도전",목집정추도,목표와 핵심결과로 협력해 목표를 세우는 성과관리 규약
153,카노모델(Kano Model),MA > 전략도구 > 카노모델(Kano Model),"매력적 품질요소, 일차원적 품질요소, 당위적 품질요소, 무차별 품질요소, 역 품질요소",매일당 무역,고객 기대와 충족 사이 관계로 품질 요소를 분류하는 모델
154,MVP(Minimum Viable Product),MA > 애자일 > MVP(Minimum Viable Product),"핵심 가치(기능), Build-Measure-Learn Loop(Iteration Cycle)","아빌배측데학(아이디어, 빌드, 배포, 측정, 데이터, 학습)",핵심 가치만 담아 빠르게 출시·검증하는 최소 기능 제품 전략
155,(크로스보더 플랫폼이 주도하는) 플랫폼 경제,MG > 플랫폼(유형) > 플랫폼 경제,"매치메이커(match maker), 네트워크 효과(network effect), Cross subsidy), 다면플랫폼, 다 중플랫폼, 플랫폼의 플랫폼",면중플,이용자 그룹이 플랫폼 환경에서 거래·상호작용으로 활동하는 경제
156,"ESG(Environment, Social, Governance)경영",MA > CSR > ESG 경영,"ESG(Environment, Social, Governance), 친환경, 사회적 책임, 지배구조, 지속가능성, 비재무적인 지표, 지속 가능한 발전",친사지,환경·사회·지배구조 비재무 요소를 고려하는 지속가능 경영 전략
157,SOS랩(Solution in Our Society Lab),MA > 기타 > SOS랩,"조직화, 개념화, 구체화, 실체화, 공유화, 사업화, 공감","[조개구실공사] 조직화, 개념화, 구체화, 실체화, 공유화, 사업화",지역사회 문제 해결을 위해 SW·ICT를 활용하는 사회혁신 연구소
158,비즈니스 모델 캔버스(Business Model Canvas),MA > 기획 분석,"고객, 가치제안, 채널, 고객관계, 수익원, 핵심활동, 핵심자원, 핵심 파트너쉽, 비용구조,",고채고수 가핵비,비즈니스 모델 핵심 구성요소를 한 장에 담은 전략 시각화 프레임워크
159,데이터 분석 기획,MA,"데이터 사이언티스트(Data Scientist), 최적화, 솔루션, 통찰, 발견, 마스터플랜, 가용한데이 터, 유스케이스(Usecase), 위험관리",최솔통발,분석 수행 전 과제 정의와 결과 도출 방안을 사전 계획하는 일련의 활동
160,"SCAMPER(Substitute, Combine, Adapt, Modify, Put to other uses, Eliminate, Reverse ) 기법",MG>전략수립도구,"Substitute(대체), Combine(결합), Adapt(응용), Modify(변형), Magnify(확대), Minify(축소), Put to Other Uses(다르게 활용), Eliminate(제거), Reverse(역순), Rearrange(재배열)",대결응변,대체·결합·적응·변형 등 7개 질문으로 아이디어를 발상하는 기법
161,퀵 커머스(Quick Commerce),BS > 커머스,"1시간 이내 주문, 초고속 상거래, 라이프스타일 변화, MFC(Micro Fulfillment Center)",일배(1시간 이내 배송),도심 물류 거점에서 1시간 이내 즉시 배송하는 초근거리 상거래
162,POP(Point of Production),MG,"생산시점 관리, 생산량 예측, 생산현황관리, 물류현황관리, 품질관리, 실시간 집계, 분석, 실적관리 위주 시스템",생물품기,현장에서 발생하는 데이터를 실시간 집계·분석·조회하는 생산 정보 시스템
163,CoE(Center of Excellence),MG,"전문가 조직, 테크놀로지, 시장, 메커니즘, 목표 지향","메시테(메커니즘, 시장, 테크놀로지)",선진 기술·툴·배포 채널 접근을 위한 전문 조직 또는 협업체
164,메타 커머스(Meta Commerce),IT 경영전략 > Commerce > 메타 커머스,"메타버스, 브랜드 체험형, 제품 구매형, 자체구축, 기존 플랫폼 활용, 객체탐지기술, 아바타 렌더링, 다중감각기술, 가상화 기술, 전자상거래 플랫폼, 메타버스 플랫폼",브구자플,메타버스 가상 공간에서 제품·서비스를 체험·구매하는 전자상거래
165,사실상 표준(de facto standard)/ 공식적 표준(de jure standard),MG > 기타,"표준화, 규격",표규,공인기관 표준은 아니지만 시장 형성 과정에서 생성되는 사실상 표준
166,전자정부 정보시스템 성과 측정지표,IT 경영전략 > 전자정부 정보시스템 성과 측정지표,"비용측면, 업무측면",비업,비용·업무 관점 성과측정으로 정보시스템 유지·폐기를 결정하는 지표
